name,value,year,lastValue,rank
Apple,211447.4,2017.9,208414.8,1
Google,154125.7,2017.9,152745.4,2
Amazon,97167.2,2017.9,93570.4,3
Apple,208414.8,2017.8,205382.2,1
Google,152745.4,2017.8,151365.1,2
Amazon,93570.4,2017.8,89973.6,3
Apple,205382.2,2017.7,202349.6,1
Google,151365.1,2017.7,149984.8,2
Amazon,89973.6,2017.7,86376.8,3
Apple,202349.6,2017.6,199317,1
Google,149984.8,2017.6,148604.5,2
Amazon,86376.8,2017.6,82780,3
Apple,199317,2017.5,196284.4,1
Google,148604.5,2017.5,147224.2,2
Amazon,82780,2017.5,79183.2,3
Apple,196284.4,2017.4,193251.8,1
Google,147224.2,2017.4,145843.9,2
Amazon,79183.2,2017.4,75586.4,3
Apple,193251.8,2017.3,190219.2,1
Google,145843.9,2017.3,144463.6,2
Amazon,75586.4,2017.3,71989.6,3
Apple,190219.2,2017.2,187186.6,1
Google,144463.6,2017.2,143083.3,2
Amazon,71989.6,2017.2,68392.8,3
Apple,187186.6,2017.1,184154,1
Google,143083.3,2017.1,141703,2
Amazon,68392.8,2017.1,64796,3
Apple,184154,2017,183550.5,1
Google,141703,2017,140857.9,2
Amazon,64796,2017,63350.2,3
