name, value ,year, lastValue ,rank
BUSBUD,518,1,0,12
CERTIFY,0,1,0,20
CONCUR,1,1,0,19
EGENCIA,3119,1,0,5
GETTHERE,0,1,0,20
HRG,106,1,0,15
IFAO,0,1,0,20
INNTEL,795,1,0,10
KDS,900,1,0,8
LOCO2,0,1,0,20
PASS,0,1,0,20
PAYZONE,16,1,0,18
OMIO,2530,1,0,7
RAILEUROPE,626,1,0,11
RAILONLINE,0,1,0,20
RAILPLUS,0,1,0,20
REARDEN,73,1,0,16
VIRGINRED,249,1,0,14
ROME2RIO,0,1,0,20
WANDERU,296,1,0,13
RailEurope Fr.,845,1,0,9
Egencia Fr.,50883,1,0,2
Chiltern,9911,1,0,3
Grand Central,2920,1,0,6
EASTMID,52,1,0,17
TFWALES,6235,1,0,4
SJ,1433649,1,0,1
BUSBUD,518,2,518,12
CERTIFY,0,2,0,21
CONCUR,5,2,1,19
EGENCIA,4764,2,3119,5
GETTHERE,0,2,0,21
HRG,179,2,106,15
IFAO,4,2,0,20
INNTEL,1326,2,795,10
KDS,1512,2,900,9
LOCO2,0,2,0,21
PASS,0,2,0,21
PAYZONE,16,2,16,18
OMIO,3894,2,2530,6
RAILEUROPE,1098,2,626,11
RAILONLINE,0,2,0,21
RAILPLUS,0,2,0,21
REARDEN,108,2,73,16
VIRGINRED,249,2,249,14
ROME2RIO,0,2,0,21
WANDERU,411,2,296,13
RailEurope Fr.,1539,2,845,8
Egencia Fr.,85976,2,50883,2
Chiltern,14901,2,9911,3
Grand Central,3451,2,2920,7
EASTMID,52,2,52,17
TFWALES,6235,2,6235,4
SJ,2400239,2,1433649,1
BUSBUD,518,3,518,12
CERTIFY,0,3,0,21
CONCUR,6,3,5,19
EGENCIA,7968,3,4764,4
GETTHERE,0,3,0,21
HRG,257,3,179,14
IFAO,5,3,4,20
INNTEL,2213,3,1326,10
KDS,2253,3,1512,9
LOCO2,0,3,0,21
PASS,0,3,0,21
PAYZONE,16,3,16,18
OMIO,5942,3,3894,6
RAILEUROPE,1703,3,1098,11
RAILONLINE,0,3,0,21
RAILPLUS,0,3,0,21
REARDEN,147,3,108,16
VIRGINRED,249,3,249,15
ROME2RIO,0,3,0,21
WANDERU,507,3,411,13
RailEurope Fr.,2335,3,1539,8
Egencia Fr.,127962,3,85976,2
Chiltern,23919,3,14901,3
Grand Central,4804,3,3451,7
EASTMID,52,3,52,17
TFWALES,6235,3,6235,5
SJ,3490851,3,2400239,1
BUSBUD,518,4,518,13
CERTIFY,0,4,0,21
CONCUR,7,4,6,19
EGENCIA,14137,4,7968,4
GETTHERE,0,4,0,21
HRG,343,4,257,15
IFAO,7,4,5,19
INNTEL,3177,4,2213,9
KDS,3280,4,2253,8
LOCO2,0,4,0,21
PASS,0,4,0,21
PAYZONE,16,4,16,18
OMIO,8227,4,5942,5
RAILEUROPE,2260,4,1703,11
RAILONLINE,0,4,0,21
RAILPLUS,0,4,0,21
REARDEN,199,4,147,16
VIRGINRED,359,4,249,14
ROME2RIO,0,4,0,21
WANDERU,553,4,507,12
RailEurope Fr.,3049,4,2335,10
Egencia Fr.,155794,4,127962,2
Chiltern,38224,4,23919,3
Grand Central,7681,4,4804,6
EASTMID,52,4,52,17
TFWALES,6235,4,6235,7
SJ,4578233,4,3490851,1
BUSBUD,518,5,518,14
CERTIFY,0,5,0,21
CONCUR,9,5,7,19
EGENCIA,33578,5,14137,4
GETTHERE,0,5,0,21
HRG,408,5,343,15
IFAO,8,5,7,20
INNTEL,4437,5,3177,9
KDS,4460,5,3280,8
LOCO2,0,5,0,21
PASS,0,5,0,21
PAYZONE,16,5,16,18
OMIO,11918,5,8227,6
RAILEUROPE,3343,5,2260,11
RAILONLINE,0,5,0,21
RAILPLUS,0,5,0,21
REARDEN,264,5,199,16
VIRGINRED,825,5,359,12
ROME2RIO,0,5,0,21
WANDERU,594,5,553,13
RailEurope Fr.,4224,5,3049,10
Egencia Fr.,201198,5,155794,2
Chiltern,60214,5,38224,3
Grand Central,12079,5,7681,5
EASTMID,52,5,52,17
TFWALES,6235,5,6235,7
SJ,5964921,5,4578233,1
BUSBUD,518,6,518,14
CERTIFY,0,6,0,21
CONCUR,11,6,9,20
